timestamp_ms,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,pressureHPa,altitudeM,filteredHeight,filteredVelocity,imuVelocityPrediction,predictedApogeeM,servoCommand
476,0.210689753,9.758766174,0.66798228,-0.002664625,0.056490045,-0.015721286,1032.943726,0.101571091,0.137289956,0.056601908,0,0,0
486,0.215478152,9.801861763,0.622492433,-0.003996937,0.054358348,-0.015987748,1032.943726,0.101571091,0.137853801,0.056167327,0,0,0
496,0.201112941,9.782708168,0.624886632,-0.003996937,0.051960181,-0.016254211,1032.943726,0.101571091,0.138413295,0.055732496,0,0,0
506,0.256179571,9.734824181,0.641646028,-0.005329249,0.05142726,-0.015454824,1032.943726,0.101571091,0.134401083,0.04761913,0,0,0
516,0.244208574,9.751583099,0.574608386,-0.004796324,0.053825419,-0.015721286,1032.943726,0.101571091,0.134874731,0.047109023,0,0,0
526,0.225054964,9.737217903,0.603338838,-0.005329249,0.056223582,-0.016254211,1032.943726,0.101571091,0.135343269,0.046598639,0,0,0
536,0.220266551,9.746794701,0.610521436,-0.003730475,0.05808882,-0.015721286,1032.943726,0.101571091,0.13580671,0.046087943,0,0,0
546,0.229843363,9.777919769,0.548272192,-0.004796324,0.058355279,-0.016520673,1032.943726,0.101571091,0.132010892,0.038397208,0,0,0
556,0.210689753,9.749189377,0.584185243,-0.005329249,0.057022974,-0.017320061,1032.943726,0.101571091,0.132391959,0.037815467,0,0,0
566,0.198718742,9.797073364,0.577002585,-0.0042634,0.05595712,-0.018385911,1032.943726,0.101571091,0.132767215,0.037233587,0,0,0
576,0.220266551,9.804255486,0.644040287,-0.005062787,0.055157732,-0.017852986,1032.943726,0.101571091,0.133136645,0.036651544,0,0,0
586,0.198718742,9.737217903,0.701501071,-0.005062787,0.054624807,-0.016520673,1032.943726,0.101571091,0.12956953,0.029408604,0,0,0
596,0.222660765,9.756371498,0.636857629,-0.005862175,0.055690661,-0.015454824,1032.943726,0.101571091,0.129860371,0.028759904,0,0,0
606,0.222660765,9.763554573,0.617704034,-0.003464012,0.056223582,-0.015987748,1032.943726,0.101571091,0.130144715,0.028110849,0,0,0
616,0.239420176,9.773131371,0.624886632,-0.0042634,0.054624807,-0.016254211,1032.945435,0.08749187,0.130422577,0.027461478,0,0,0
626,0.196324542,9.742006302,0.694318473,-0.004529862,0.055157732,-0.017053599,1032.945435,0.08749187,0.12535432,0.017727185,0,0,0
636,0.215478152,9.763554573,0.648828685,-0.004529862,0.053825419,-0.017053599,1032.945435,0.08749187,0.125527889,0.016986221,0,0,0
646,0.277727395,9.763554573,0.634463429,-0.003464012,0.051960181,-0.016254211,1032.945435,0.08749187,0.125694036,0.016244892,0,0,0
656,0.189141929,9.763554573,0.600944638,-0.002931087,0.051160797,-0.017586524,1032.945435,0.08749187,0.125852779,0.015503289,0,0,0
666,0.20350714,9.787496567,0.59615624,-0.003464012,0.05142726,-0.015987748,1032.945435,0.08749187,0.121225186,0.006595248,0,0,0
676,0.18674773,9.770736694,0.641646028,-0.002664625,0.051693719,-0.017320061,1032.945435,0.08749187,0.121287011,0.005770069,0,0,0
686,0.215478152,9.761159897,0.651222885,-0.002664625,0.052226644,-0.015721286,1032.945435,0.08749187,0.12134058,0.004944423,0,0,0
696,0.20350714,9.821015358,0.634463429,-0.002398162,0.053825419,-0.015721286,1032.947144,0.073915496,0.121385895,0.004118305,0,0,0
706,0.217872351,9.797073364,0.689530075,-0.003464012,0.054091886,-0.015454824,1032.947144,0.073915496,0.115504138,-0.006867902,0,0,0
716,0.232237563,9.763554573,0.682347476,-0.003730475,0.053558957,-0.015987748,1032.947144,0.073915496,0.115430802,-0.007799419,0,0,0
726,0.234631762,9.758766174,0.682347476,-0.00319755,0.051693719,-0.016254211,1032.948853,0.059836313,0.115348153,-0.008731396,0,0,0
736,0.215478152,9.782708168,0.598550439,-0.002398162,0.049828485,-0.015188362,1032.948853,0.059836313,0.115256175,-0.009663938,0,0,0
746,0.222660765,9.758766174,0.617704034,-0.003996937,0.049562022,-0.016787136,1032.948853,0.059836313,0.108234763,-0.022533601,0,0,0
756,0.179565132,9.765948296,0.677559078,-0.002664625,0.052759573,-0.017320061,1032.948853,0.059836313,0.108004138,-0.023591863,0,0,0
766,0.210689753,9.775525093,0.696712673,-0.003464012,0.053292494,-0.015721286,1032.950684,0.044751495,0.107762925,-0.024650665,0,0,0
776,0.193930343,9.794678688,0.648828685,-0.0042634,0.05249311,-0.016520673,1032.950684,0.044751495,0.107511118,-0.025709921,0,0,0
786,0.189141929,9.775525093,0.703895271,-0.002931087,0.052226644,-0.016254211,1032.950684,0.044751495,0.099397764,-0.040386226,0,0,0
796,0.217872351,9.749189377,0.612915635,-0.002398162,0.050894335,-0.014122511,1032.950684,0.044751495,0.098987877,-0.041592281,0,0,0
806,0.260968,9.758766174,0.63206923,-0.0021317,0.05142726,-0.014921899,1032.950684,0.044751495,0.098565921,-0.042799078,0,0,0
816,0.275333196,9.794678688,0.658405483,-0.003464012,0.049828485,-0.015188362,1032.950684,0.044751495,0.098131895,-0.044006538,0,0,0
826,0.284909993,9.756371498,0.624886632,-0.004529862,0.050361406,-0.014921899,1032.950684,0.044751495,0.091007009,-0.05686992,0,0,0
836,0.241814375,9.794678688,0.653617084,-0.004529862,0.050894335,-0.015188362,1032.950684,0.044751495,0.090431631,-0.058205612,0,0,0
846,0.217872351,9.801861763,0.617704034,-0.005329249,0.050894335,-0.015188362,1032.948853,0.059836313,0.089842893,-0.059541956,0,0,0
856,0.210689753,9.785101891,0.63206923,-0.005862175,0.050361406,-0.014655436,1032.948853,0.059836313,0.089240789,-0.060878973,0,0,0
866,0.225054964,9.751583099,0.663193882,-0.005862175,0.052759573,-0.015721286,1032.948853,0.059836313,0.084976234,-0.068626806,0,0,0
876,0.174776718,9.797073364,0.608127236,-0.005062787,0.053825419,-0.014921899,1032.947144,0.073915496,0.084282927,-0.07003545,0,0,0
886,0.246602774,9.844957352,0.672770679,-0.004529862,0.05595712,-0.014388974,1032.947144,0.073915496,0.083575524,-0.071444899,0,0,0
896,0.239420176,9.794678688,0.634463429,-0.005062787,0.057289433,-0.014921899,1032.947144,0.073915496,0.082854025,-0.072855078,0,0,0
906,0.260968,9.756371498,0.634463429,-0.005062787,0.05808882,-0.014921899,1032.947144,0.073915496,0.081073664,-0.076112993,0,0,0
916,0.418985307,10.49618053,0.701501071,-0.003996937,0.057022974,-0.015188362,1032.951416,0.038717575,0.080305375,-0.077544801,0,0,0
926,-3.462015629,12.02607536,1.11569798,-0.009592649,0.045298621,-0.021050537,1032.951416,0.038717575,0.079522766,-0.078976497,0,0,0
936,0.134075299,9.119514465,-0.945709646,-0.03650536,0.0021317,-0.014921899,1032.951416,0.038717575,0.078725852,-0.080407478,0,0,0
946,-0.019153614,7.560888767,-0.093373865,-0.023182238,0.019451762,-0.017586524,1032.951416,0.038717575,0.072897665,-0.090756766,0,0,0
956,1.980004787,11.47780323,0.857124209,-0.005595712,0.039702907,-0.016787136,1032.951416,0.038717575,0.071982451,-0.092284881,0,0,0
966,0.239420176,8.980650902,0.940921247,-0.001332312,0.045831546,-0.016787136,1032.951416,0.038717575,0.071051955,-0.09381377,0,0,0
976,-0.51954174,9.418789864,0.555454791,0.007194487,0.064217456,-0.018119449,1032.951416,0.038717575,0.070106164,-0.095343702,0,0,0
986,0.079008654,10.80503273,0.59615624,0.007194487,0.058355279,-0.018385911,1032.951416,0.038717575,0.065231115,-0.103870705,0,0,0
996,-0.366312861,9.749189377,0.59376204,-0.002398162,0.043433387,-0.014921899,1032.951416,0.038717575,0.064184368,-0.105479054,0,0,0
1006,0.033518825,9.63666153,0.323217243,-0.005329249,0.03757121,-0.017586524,1032.951416,0.038717575,0.063121527,-0.107087918,0,0,0
